animal_id,start,end,duration
1749,84,137,54
17762,81,140,60
17763,82,140,59
17766,84,141,58
17769,76,142,67
17777,76,142,67
17778,80,141,62
17780,82,140,59
17812,83,140,58
17813,73,141,69
17814,84,142,59
2160,87,137,51
2161,88,137,50
2164,90,137,48
2167,90,137,48
2174,77,137,61
2176,90,136,47
2820,85,139,55
2825,85,141,57
2826,83,138,56
2827,82,147,66
2830,92,145,54
2832,82,141,60
2838,88,139,52
2839,88,139,52
LM17M,39,138,100
LM39F,32,151,120
RP01F,59,151,93
RP08F,43,136,94
RP15F,43,150,108
RP17F,32,143,112
RP19F,32,133,102
RP20F,36,141,106
RP22F,41,130,90
RP23F,42,144,103
